nomor_registrasi,nama_produk,merk,jenis_kemasan,ukuran_kemasan,produsen,kota_produsen,provinsi_produsen
MD 268320037006,Minuman Teh Rasa Sirsak,MOUNTEA,Gelas Plastik, (150ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268310008013,Minuman Teh,Vontea,Gelas Plastik, (180ml),PT KENCANA ABADI JAYA, Kab. Bogor, Jawa Barat
MD 268313012006,Minuman Teh Hijau Matcha dengan Susu,Fiesta,Botol Plastik, (350ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268310002208,Minuman Teh Susu,KIYORA,Botol Plastik, (300ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
MD 268320060006,Minuman Teh Rasa Mangga,Mountea,Gelas Plastik, (150ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320036006,Minuman Teh Rasa Sirsak,MOUNTEA,Gelas Plastik, (150ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320051006,Minuman Teh Rasa Sirsak,Mountea,Gelas Plastik, (150ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320046006,Minuman Teh Rasa Sirsak,MOUNTEA,Gelas Plastik,  (150ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268313011006,Minuman Teh Susu,Fiesta,Botol Plastik, (350ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268313008006,Minuman Teh Hitam English Breakfast,Fiesta,Botol Plastik, (350ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268310040047,Minuman Teh Melati,SOSRO,Botol Plastik, (450ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 168322009001,Minuman Teh Melati,SOSRO,Botol Kaca, (220ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313007006,Minuman Teh Hitam Earl Grey,Fiesta,Botol Plastik, (350ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268310023328,Minuman Teh,HULA HULA,Gelas Plastik, (160ml),PT MITRA ALAM BANDUNG, Kota Bandung, Jawa Barat
MD 268328010092,Minuman Teh Rasa Lemon,ICHI OCHA,Botol Plastik, (350ml; 500ml),PT ANUGERAH INDOFOOD BAROKAH MAKMUR, Kota Jakarta Selatan, DKI Jakarta
ML 268309065055,Minuman Teh Rasa Markisa,POKKA,Botol Plastik, (500ml; 1500ml),PT DIMA INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268313005184,Minuman Teh Hijau Beraroma Melati,LAOPAN,Gelas Plastik, (180ml; 200ml; 225ml),PT TIRTA YAKIN SEJAHTERA, Kab. Pasuruan, Jawa Timur
MD 268313006184,Minuman Teh Hijau Beraroma Melati,LAOPAN,Botol Plastik, (350ml; 500ml),PT TIRTA YAKIN SEJAHTERA, Kab. Pasuruan, Jawa Timur
MD 268313001367,Minuman Teh Dalam Kemasan,7TEA,Gelas Plastik, (240ml),PT Umbulan Tirto Makmur Sentosa Jaya, Kab. Pasuruan, Jawa Timur
MD 268328016092,Minuman Teh Hijau ,ICHI OCHA ,Botol Plastik, (500ml),PT ANUGERAH INDOFOOD BAROKAH MAKMUR, Kota Jakarta Selatan, DKI Jakarta
ML 568331047257,Minuman Teh Berperisa Persik,F&N - SEASONS,Kaleng, (300ml),PT Yoke Food Industries Indonesia, Kab. Tangerang, Banten
MD 268313017033,Minuman Teh Hijau Aroma Melati,SOSRO,Botol Plastik, (450ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310002250,Minuman Teh Beraroma Melati,Teheco,Botol Plastik, (330mL),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 168310017032,Minuman Teh Rasa Vanila Pandan,FRESTEA,Botol Kaca, (220ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 468302014013,Minuman Teh Rasa Jambu Klutuk,SOSRO,Tetrapak, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268311003155,Minuman Teh Dalam Kemasan,PANEN,Botol Plastik, (350ml; 500ml),CV PANEN UTAMA JAYA, Kab. Kendal, Jawa Tengah
ML 568331043257,Minuman Teh Hijau Beraroma Melati,F&N - SEASONS,Kaleng, (300ml),PT Yoke Food Industries Indonesia, Kab. Tangerang, Banten
ML 268309057055,Minuman Teh Rasa Stroberi,POKKA,Botol Plastik, (500ml; 1500ml),PT DIMA INDONESIA, Kota Jakarta Selatan, DKI Jakarta
ML 168309002484,Minuman Teh Hijau (CONDITION),CJ Cheiljedang,Botol Kaca, (100ml; 500ml),PT YSJ INTERNATIONAL, Kota Jakarta Selatan, DKI Jakarta
ML 268309008136,Minuman Teh Hijau Rasa Leci,ICHITAN,Botol Plastik, (420ml; 290ml),PT ATRI DISTRIBUSINDO, Kota Jakarta Barat, DKI Jakarta
ML 268309009136,Minuman Teh Hijau Rasa Madu Lemon,ICHITAN,Botol Plastik, (420ml; 290ml),PT ATRI DISTRIBUSINDO, Kota Jakarta Barat, DKI Jakarta
MD 168331010009,Minuman Teh Melati,SOSRO,Botol Kaca, (220ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 168331011009,Minuman Teh Melati,S-tee,Botol Kaca, (234ml; 318ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310004043,Minuman Teh Dalam Kemasan Rasa Lemon,Mi-U,Botol Plastik, (350ml),PT NUGRA HIDRATAMA, Kab. Bekasi, Jawa Barat
MD 268310002313,Minuman Teh Hitam,Arinda,Gelas Plastik, (185ml; 210ml),PT Lambang Cahaya Berkat, Kab. Bogor, Jawa Barat
MD 268328014092,Minuman Teh Rasa Leci,ICHI OCHA,Botol Plastik, (350ml; 500ml),PT ANUGERAH INDOFOOD BAROKAH MAKMUR, Kota Jakarta Selatan, DKI Jakarta
MD 168311009021,Minuman Teh Melati,SOSRO,Botol Kaca, (220ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
ML 268302103235,Minuman Teh Hijau (Tasty Green Tea Drink),SANGARIA,Botol Plastik, (500ml),CV Sun Fortuna, Kota Medan, Sumatera Utara
ML 268302104235,Minuman Teh Hijau (Green Tea Drink),SANGARIA,Botol Plastik, (500ml),CV Sun Fortuna, Kota Medan, Sumatera Utara
ML 568331040257,Minuman Teh Berperisa Apel,F&N - SEASONS,Kaleng, (300ml),PT Yoke Food Industries Indonesia, Kab. Tangerang, Banten
MD 168311008021,Minuman Teh,S-tee,Botol Kaca, (234ml; 318ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310001313,Minuman Teh (Teh Hijau dengan gula asli),Arinda,Plastik, 210ml,PT Lambang Cahaya Berkat, Kab. Bogor, Jawa Barat
MD 468310004129,Minuman Teh Rasa Stroberi,TEH KOTAK,Tetrapak, (200ml; 250ml),PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY Tbk, Kab. Bandung Barat, Jawa Barat
MD 468310005129,Minuman Teh Rasa Jambu,TEH KOTAK,Tetrapak, (200ml; 250ml),PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY Tbk, Kab. Bandung Barat, Jawa Barat
MD 268311002155,Minuman Teh Dalam Kemasan,PANEN,Gelas Plastik, (185ml; 220ml),CV PANEN UTAMA JAYA, Kab. Kendal, Jawa Tengah
MD 268328011092,Minuman Teh Rasa Vanila,ICHI OCHA,Botol Plastik, (350ml),PT ANUGERAH INDOFOOD BAROKAH MAKMUR, Kota Jakarta Selatan, DKI Jakarta
MD 168318011005,Minuman Teh Beraroma Melati,FRESTEA,Botol Kaca, (220ml),PT BANGUN WENANG BEVERAGES COMPANY, Kota Manado, Sulawesi Utara
MD 268328009092,Minuman Teh Rasa Persik ,ICHI OCHA,Botol Plastik, (500ml),PT ANUGERAH INDOFOOD BAROKAH MAKMUR, Kota Jakarta Selatan, DKI Jakarta
MD 268313001309,Minuman Teh Hijau Aroma Melati,FLUT GRIS,Gelas Plastik, (200ml) ,PT TIRTA MAJU ABADI, Kab. Pasuruan, Jawa Timur
ML 268309054055,Minuman Teh Rasa Blueberry,POKKA,Botol Plastik, (500ml; 1500ml),PT DIMA INDONESIA, Kota Jakarta Selatan, DKI Jakarta
ML 568309016170,Minuman Teh Rasa Lemon,Sunkist,Kaleng, (320ml),PT TIRTA AMARTA, Kota Jakarta Utara, DKI Jakarta
MD 568313003283,Minuman Teh Hijau dengan Madu,CAP PANDA,Kaleng, (310ml),PT KINO INDONESIA Tbk., Kota Jakarta Pusat, DKI Jakarta
MD 268311023066,Minuman Teh Wangi Melati,Cap Bandulan,Botol Plastik, (350ml; 500ml),CV BUDI DJAJA, Kota Pekalongan, Jawa Tengah
ML 469029048085,Minuman Teh Krisantemum dengan Wolfberry (Chrysanthemum With Wolfberry),F & N,Tetrapak, (500ml; 1000ml),PT SINBAT, Kota Batam, Kepulauan Riau
ML 268309014170,Minuman Teh Rasa Persik,Sunkist,Botol Plastik, (350ml; 500ml),PT TIRTA AMARTA, Kota Jakarta Utara, DKI Jakarta
ML 268309015170,Minuman Teh Rasa Markisa,Sunkist,Botol Plastik, (350ml; 500ml),PT TIRTA AMARTA, Kota Jakarta Utara, DKI Jakarta
ML 268309013170,Minuman Teh Rasa Leci,Sunkist,Botol Plastik, (350ml; 500ml),PT TIRTA AMARTA, Kota Jakarta Utara, DKI Jakarta
ML 268309012170,Minuman Teh Rasa Lemon,Sunkist,Botol Plastik, (350ml; 500ml),PT TIRTA AMARTA, Kota Jakarta Utara, DKI Jakarta
MD 268328017031,Minuman Teh Oolong,MYTEA,Botol Plastik, (300ml),PT SUNTORY GARUDA BEVERAGE, Kota Jakarta Selatan, DKI Jakarta
ML 268309008170,Minuman Teh Rasa Apel,Sunkist,Botol Plastik, (350ml; 500ml),PT TIRTA AMARTA, Kota Jakarta Utara, DKI Jakarta
ML 568309006170,Minuman Teh Rasa Persik,Sunkist,Kaleng, (320ml),PT TIRTA AMARTA, Kota Jakarta Utara, DKI Jakarta
ML 568309007170,Minuman Teh Rasa Markisa,Sunkist,Kaleng, (320ml),PT TIRTA AMARTA, Kota Jakarta Utara, DKI Jakarta
ML 568309005170,Minuman Teh Rasa Apel ,Sunkist ,Kaleng, (320ml),PT TIRTA AMARTA, Kota Jakarta Utara, DKI Jakarta
ML 568309004170,Minuman Teh Rasa Leci,Sunkist,Kaleng, (320ml),PT TIRTA AMARTA, Kota Jakarta Utara, DKI Jakarta
MD 268313003261,Minuman Teh Rasa Melati,FRESAICON,Botol Plastik, (260ml; 325ml),PT SYNERGY BEVERAGE INDONESIA, Kota Surabaya, Jawa Timur
MD 200928067007,Minuman Teh Mengandung Susu (Milk Tea),DIAMOND,Botol Plastik, (250ml; 300ml; 1000ml),PT DIAMOND COLD STORAGE, Kota Jakarta Utara, DKI Jakarta
MD 468310016015,Minuman Teh Melati,SOSRO,Tetrapak, (200ml; 250ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310009208,Minuman Teh Hijau dengan Susu (Green Tea Latte),7 Select,Plastik, (330ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
MD 168311043028,Minuman Teh Hijau Rasa Blackcurrant,Indoteh Fruits,Botol Kaca, (235ml; 240ml; 245ml; 250ml),PT Indotirta Jaya Abadi, Kota Semarang, Jawa Tengah
ML 268309014510,"Minuman Teh hijau (""ICHIBAN TEA"" GREEN TEA)",TOPVALU,Botol Plastik, (500ml),PT AEON INDONESIA, Kota Jakarta Pusat, DKI Jakarta
MD 268313005207,Minuman Teh Hitam,Granita,Gelas Plastik, (110ml; 120ml; 135ml; 150ml; 165ml; 175ml; 185ml),PT SETIA PESONA CIPTA, Kota Jakarta Barat, DKI Jakarta
MD 268331006009,Minuman Teh Melati,S-tee,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468313018046,Minuman Teh (Original Tea),TEH GELAS,Tetrapak, (330ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310005227,Minuman Teh Hitam,Granita,Gelas Plastik, (110ml; 120ml; 135ml; 150ml; 165ml; 175ml; 185ml),PT SETIA PESONA CIPTA, Kota Jakarta Barat, DKI Jakarta
MD 268328005063,Minuman Teh Hitam,Granita,Gelas Plastik, (110ml; 120ml; 135ml; 150ml; 165ml; 175ml; 185ml),PT SETIA PESONA CIPTA, Kota Jakarta Barat, DKI Jakarta
MD 268310004045,Minuman Teh Hijau Rasa White Grape,Futami 17,Botol Plastik, (485ml),PT FUTAMI FOOD & BEVERAGES, Kota Jakarta Utara, DKI Jakarta
MD 168311042028,Minuman Teh Hijau Madu Lemon,Indoteh Crown,Botol Kaca, (230ml; 235ml; 240ml; 245ml; 250ml),PT Indotirta Jaya Abadi, Kota Semarang, Jawa Tengah
ML 268309008510,Minuman teh Hijau (Deep green tea),TOPVALU,Botol Plastik, (500ml),PT AEON INDONESIA, Kota Jakarta Pusat, DKI Jakarta
MD 468313017046,Minuman Teh (Original Tea),TEH GELAS,Tetrapak, (200ml; 250ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268302013013,Minuman Teh Melati,S-tee,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268311006021,Minuman Teh Melati,S-tee,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268322004001,Minuman Teh Melati,S-tee,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468313015046,Minuman Teh (Original Tea),TEH GELAS,Tetrapak, (500ml; 1000ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 468313016046,Minuman Teh - Teh Putih (WHITE TEA),TEH GELAS,Tetrapak, (500ml; 1000ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
ML 268309050055,Minuman Teh Hijau Aroma Melati,POKKA,Botol Plastik, (500ml; 1500ml),PT DIMA INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 262228001347,Minuman Teh (Original Tea) Kurang Gula,Teh Gelas,Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Bogor, Jawa Barat
MD 268313011010,Minuman Teh Rasa Lemon,MARTEA,Gelas Plastik, (190ml),PT SEHAT SUKSES SEJAHTERA, Kota Mojokerto, Jawa Timur
MD 268313010010,Minuman Teh Rasa Melati,MARTEA,Gelas Plastik, (190ml),PT SEHAT SUKSES SEJAHTERA, Kota Mojokerto, Jawa Timur
MD 268331002073,Minuman Teh,WOWO,Gelas Plastik, (210ml),PT AERINDO JAYA, Kota Tangerang, DKI Jakarta
MD 467810026006,Minuman Teh Hijau dengan Nata De Coco,INACO,Tetrapak, (200ml),PT NIRAMAS UTAMA, Kab. Bekasi, Jawa Barat
MD 262213013669,Minuman Teh Melati Kurang Gula (Teh Botol Sosro Less Sugar),SOSRO,Plastik, (450ml),PT SINAR SOSRO PABRIK MOJOKERTO, Kota Mojokerto, Jawa Timur
MD 468313013046,Minuman Teh - Original Tea,TEH GELAS,Tetrapak, (500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 468313012046,Minuman Teh - Teh Putih (WHITE TEA),TEH GELAS,Tetrapak, 330ml,PT CS2 POLA SEHAT, Kab. Tangerang, Banten
ML 168309071137,Minuman Teh Hijau Dengan Selasih (Green Tea Drink With Basil Seed),VFresh,Botol Kaca, (290ml),PT SARANA GLOBAL, Kota Jakarta Pusat, DKI Jakarta
ML 568331090023,Minuman Teh Rasa Susu,Foco,Kaleng, (350ml; 520ml),PT KAFINDO CITA RASA, Kab. Tangerang, Banten
MD 268331148020,Minuman Teh Melati dengan Gula Batu,SISRI,Gelas Plastik, (210ml; 220ml; 240ml),PT FORISA NUSAPERSADA, Kab. Tangerang, Banten
MD 468313011046,Minuman Teh - Teh Putih (White Tea),TEH GELAS,Tetrapak, (200ml; 250ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268311003052,Minuman Teh Hijau,TEKITA,Gelas Plastik, (180ml; 200ml; 220ml; 240ml),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
MD 268310012040,Minuman Teh Aroma Melati,TEKITA,Gelas Plastik, (190ml; 240ml),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
ML 268309003298,Minuman Teh Hijau Rasa Madu ,Ichi Ocha,Botol Plastik, (350ml; 500ml),PT INDOFOOD ASAHI SUKSES BEVERAGE, Kota Jakarta Pusat, DKI Jakarta
MD 468310015015,Minuman Teh Hijau Aroma Melati (Green Tea),SOSRO,Tetrapak, (250ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313001261,Minuman Teh Rasa Leci,FRESAICON,Botol Plastik, (260ml),PT SYNERGY BEVERAGE INDONESIA, Kota Surabaya, Jawa Timur
MD 266520035006,Minuman Teh Berkarbonasi Rasa Leci,MOUNTEA,Botol Plastik, (330ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268310011040,Minuman Teh Hijau,TEKITA,Gelas Plastik, (180ml; 200ml; 220ml; 240ml),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
MD 468313010046,Minuman Teh - Original Tea,TEH GELAS,Tetrapak, (330ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310004243,Minuman Teh Putih (White Tea),TEH GELAS,Botol Plastik, (350ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310003207,Minuman Teh ,IDOLA,Plastik, (165ml),PT PATNA LESTARI, Kab. Subang, Jawa Barat
MD 468313009046,Minuman Teh - Original Tea,TEH GELAS,Tetrapak, (200ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 261310152349,Minuman Teh Hijau Rendah Energi,FRESTEA,Plastik, (500ml),PT COCA-COLA BOTTLING INDONESIACIBITUNG, JAWA BARAT
MD 261310153349,Minuman Teh Beraroma Melati Rendah Energi,FRESTEA,Plastik, (500ml),PT COCA-COLA BOTTLING INDONESIACIBITUNG, JAWA BARAT
MD 268310003208,Minuman Teh Hijau Rasa Madu,KIYORA,Botol Plastik PET, (330ml; 500ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
MD 268310010040,Minuman Teh Hijau,TEKITA,Gelas Plastik, (200ml; 240ml),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
MD 468310108001,Minuman Teh Melati ,SOSRO,Tetrapak, (250ml),PT SINAR SOSRO PABRIK TAMBUNBEKASI, JAWA BARAT
MD 468313008046,Minuman Teh (Original Tea),TEH GELAS,Tetrapak, (250ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 568311037028,Minuman Teh Hijau dengan Madu Krisantemum,Indoteh Crown,Kaleng, (315ml),PT Indotirta Jaya Abadi, Kota Semarang, Jawa Tengah
MD 268313002234,Minuman Teh beraroma melati,Mangoen,Botol Plastik, (330ml),PT TIRTA INTI MANDIRI, Kab. Mojokerto, Jawa Timur
MD 168311036028,Minuman Teh Hijau Rasa Jambu Biji,Indoteh Fruits,Botol Kaca, (235ml; 240ml; 245ml; 250ml),PT Indotirta Jaya Abadi, Kota Semarang, Jawa Tengah
